,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
44,yourarirarira,account.27c9e109e949440983bca773d860b7a1,1.0,0.0,2.0,54.39988,byplayer,0.0,0.0,22.0,1.0,1.0,4.079947,0.0,0.0,0.0,0.0,0.0,496.0,0.0,360.19257,5.0,15.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
45,Pan_Ruchao,ai.312,0.0,0.0,0.0,25.199999,byplayer,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,643.88873,0.0,19.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
46,LG_gram,account.4b082a671de54c5eb5bfea4a1e03927d,0.0,0.0,3.0,71.6074,byplayer,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,1251.1528,4.0,12.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
47,18--ak,account.72a06df13b1c49eba0de54ec5a2e7a7d,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,60.95614,1.0,29.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
48,Ricochet_-,account.ba72f0c09beb43f191aa95067b407d02,1.0,1.0,4.0,296.9257,byplayer,1.0,0.0,6.0,1.0,3.0,8.165401,1.0,0.0,0.0,0.0,0.0,769.0,0.0,1501.2141,8.0,10.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
49,dbswnstj99140909,account.9a34780781ca49c4854c9e62426dfcbd,3.0,0.0,0.0,620.49756,byplayer,0.0,1.0,7.0,1.0,3.0,48.187477,0.0,0.0,0.0,0.0,0.0,439.0,0.0,716.636,3.0,18.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
50,hiroponti,account.f7716520b48242059bae610b8b59acf7,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,686.283,4.0,17.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
51,buhungtek,account.2e4a47c86f2a49809d784680f82d2b3c,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,195.92365,3.0,23.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
52,Anakalman,account.0895352590064df8bc78ed6dc24ca72a,0.0,0.0,1.0,14.9926195,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,698.04156,4.0,18.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
53,shinsunwoo,account.297b6c58cb254a9893aa842cdb910e67,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,314.25464,1.0,24.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
